put_call,symbol,description,exchange_name,bid,ask,last,mark,bid_size,ask_size,bid_ask_size,last_size,high_price,low_price,open_price,close_price,total_volume,trade_time_in_long,quote_time_in_long,net_change,volatility,delta,gamma,theta,vega,rho,open_interest,time_value,theoretical_option_value,theoretical_volatility,strike_price,expiration_date,days_to_expiration,expiration_type,last_trading_day,multiplier,settlement_type,deliverable_note,percent_change,mark_change,mark_percent_change,intrinsic_value,extrinsic_value,option_root,exercise_type,high_52_week,low_52_week,penny_pilot,non_standard,in_the_money,mini,c_breakeven_price,c_net_investment,m_equity_required,c_pts_downside_protection,c_profit_if_exercised,c_profit_if_unchanged,m_net_investment,m_debit_balance,c_downside_protection,c_return_if_exercised,c_return_if_unchanged,m_interest_changes,m_profit_if_unchanged,c_annualized_return_if_unchanged,m_profit_if_exercised,m_return_if_unchanged,m_breakeven_price,m_return_if_exercised,m_pts_downside_protection,m_annualized_return_if_unchanged,m_downside_protection
PUT,AAPL  250530P00197500,AAPL 05/30/2025 197.50 P,OPR,0.0,0.01,0.01,0.01,0,8,0X8,1,1.22,0.01,0,0.54,52063,1748635155529,1748635199493,-0.53,47.551,-0.01,0.019,-0.005,0.001,0.0,7390,0.01,0.005,29,197.5,2025-05-30T20:00:00.000+00:00,0,W,1748649600000,100,P,100 AAPL,-99.07,-0.53,-99.07,-3.35,3.36,AAPL,A,6.0,0.01,true,false,false,false,200.0,20000.65,20.0,-200.0,-250.65000000000146,-0.6500000000014552,20.65,180.0,-1.0,-0.012532092706987095,-0.000032498943784399766,0.0,-21.300000000001454,-inf,-250.65000000000146,-1.031476997578763,2.0065,-12.138014527845108,197.9935,-inf,0.9899675000000001
PUT,AAPL  250530P00200000,AAPL 05/30/2025 200.00 P,OPR,0.0,0.02,0.01,0.01,0,2,0X2,1,3.2,0.01,0,1.38,20778,1748635198159,1748635199834,-1.37,16.278,-0.049,0.207,-0.01,0.003,0.0,11589,0.01,0.01,29,200.0,2025-05-30T20:00:00.000+00:00,0,W,1748649600000,100,P,100 AAPL,-99.28,-1.37,-99.28,-0.85,0.86,AAPL,A,22.6,0.01,true,false,false,false,200.0,20000.65,20.0,-200.0,-0.6500000000014552,-0.6500000000014552,20.65,180.0,-1.0,-0.000032498943784399766,-0.000032498943784399766,0.0,-21.300000000001454,-inf,-0.6500000000014552,-1.031476997578763,2.0065,-0.03147699757876297,197.9935,-inf,0.9899675000000001
PUT,AAPL  250530P00202500,AAPL 05/30/2025 202.50 P,OPR,1.51,2.5,1.83,2.01,15,5,15X5,2,5.7,0.61,0,2.97,3262,1748635198014,1748635199972,-1.14,31.516,-0.96,0.089,-0.053,0.003,0.0,3126,0.18,1.703,29,202.5,2025-05-30T20:00:00.000+00:00,0,W,1748649600000,100,P,100 AAPL,-38.44,-0.96,-32.4,1.65,0.18,AAPL,A,9.73,0.61,true,false,true,false,198.49,19849.65,20.0,-196.98000000000002,400.34999999999854,150.34999999999854,-130.35,180.0,-0.9849000000000001,0.020169121369898135,0.007574440859158652,0.0,280.69999999999857,inf,400.34999999999854,-2.153433064825459,0.49650000000000005,-3.0713463751438326,199.5035,-inf,0.9975175000000001
PUT,AAPL  250530P00205000,AAPL 05/30/2025 205.00 P,OPR,3.3,5.05,3.55,4.18,111,10,111X10,2,8.1,3.08,0,5.15,1885,1748635139075,1748635199995,-1.6,57.289,-0.991,0.013,-0.042,0.001,0.0,5942,-0.6,4.192,29,205.0,2025-05-30T20:00:00.000+00:00,0,W,1748649600000,100,P,100 AAPL,-31.04,-0.98,-19.01,4.15,-0.6,AAPL,A,22.9,1.59,true,false,true,false,196.7,19670.65,20.0,-193.39999999999998,829.3499999999985,329.34999999999854,-309.35,180.0,-0.9669999999999999,0.04216179943214884,0.016743218958193987,0.0,638.6999999999986,inf,829.3499999999985,-2.064651689025371,-1.2935000000000003,-2.680943914659766,201.2935,-inf,1.0064675
PUT,AAPL  250530P00207500,AAPL 05/30/2025 207.50 P,OPR,5.95,7.9,5.7,6.93,102,102,102X102,1,10.25,5.7,0,7.59,256,1748635037267,1748635199508,-1.89,86.063,-0.994,0.006,-0.042,0.001,0.0,404,-0.95,6.692,29,207.5,2025-05-30T20:00:00.000+00:00,0,W,1748649600000,100,P,100 AAPL,-24.91,-0.66,-8.74,6.65,-0.95,AAPL,A,14.0,2.21,true,false,true,false,194.05,19405.65,20.0,-188.10000000000002,1344.3499999999985,594.3499999999985,-574.35,180.0,-0.9405000000000001,0.0692762159474173,0.03062767802160703,0.0,1168.6999999999985,inf,1344.3499999999985,-2.0348219726647487,-3.9435000000000002,-2.3406459475929284,203.9435,-inf,1.0197175
PUT,AAPL  250606P00197500,AAPL 06/06/2025 197.50 P,OPR,1.86,1.92,1.86,1.89,6,9,6X9,1,3.7,1.48,0,2.38,11001,1748635198969,1748635199932,-0.51,29.869,-0.335,0.044,-0.221,0.102,-0.013,2158,1.86,1.89,29,197.5,2025-06-06T20:00:00.000+00:00,7,W,1749254400000,100,P,100 AAPL,-21.47,-0.48,-20.42,-3.35,5.21,AAPL,A,7.06,1.27,true,false,false,false,198.14,19814.65,20.0,-196.27999999999997,-64.65000000000146,185.34999999999854,-165.35,180.0,-0.9813999999999999,-0.003262737419030942,0.009354189955411705,0.35000000000000003,350.69999999999857,0.4877541905321818,-65.00000000000145,-2.120955548835794,0.15000000000000005,0.393105533716368,199.85,-110.59268218929499,0.99925
PUT,AAPL  250606P00200000,AAPL 06/06/2025 200.00 P,OPR,2.77,2.85,2.8,2.81,6,8,6X8,1,5.1,2.24,0,3.4,11937,1748635198573,1748635199900,-0.6,28.972,-0.449,0.049,-0.234,0.111,-0.018,5942,2.8,2.81,29,200.0,2025-06-06T20:00:00.000+00:00,7,W,1749254400000,100,P,100 AAPL,-17.65,-0.59,-17.35,-0.85,3.65,AAPL,A,11.0,1.41,true,false,false,false,197.23,19723.65,20.0,-194.45999999999998,276.34999999999854,276.34999999999854,-256.35,180.0,-0.9722999999999999,0.014011098351471383,0.014011098351471383,0.35000000000000003,532.6999999999986,0.7305786997552935,275.9999999999985,-2.0780183343085565,-0.7600000000000002,-1.076653013458157,200.76,-108.35381314608902,1.0038
PUT,AAPL  250606P00202500,AAPL 06/06/2025 202.50 P,OPR,3.95,4.1,3.85,4.03,14,8,14X8,1,6.78,3.3,0,4.73,1513,1748635177499,1748635200726,-0.88,28.046,-0.574,0.05,-0.223,0.11,-0.022,1725,2.2,4.025,29,202.5,2025-06-06T20:00:00.000+00:00,7,W,1749254400000,100,P,100 AAPL,-18.6,-0.71,-14.95,1.65,2.2,AAPL,A,10.65,2.34,true,false,true,false,196.05,19605.65,20.0,-192.10000000000002,644.3499999999985,394.34999999999854,-374.35,180.0,-0.9605000000000001,0.03286552600908404,0.020114099762058312,0.35000000000000003,768.6999999999986,1.0488066304501833,643.9999999999985,-2.0534259382930373,-1.9400000000000004,-1.720315213035925,201.94,-107.07149535385123,1.0097
PUT,AAPL  250606P00205000,AAPL 06/06/2025 205.00 P,OPR,5.5,5.7,5.17,5.6,11,7,11X7,6,8.6,4.75,0,6.35,1194,1748635164492,1748635199751,-1.18,27.397,-0.696,0.045,-0.192,0.098,-0.026,5237,1.02,5.583,29,205.0,2025-06-06T20:00:00.000+00:00,7,W,1749254400000,100,P,100 AAPL,-18.59,-0.75,-11.76,4.15,1.02,AAPL,A,14.2,2.4,true,false,true,false,194.5,19450.65,20.0,-189.0,1049.3499999999985,549.3499999999985,-529.35,180.0,-0.9450000000000001,0.05394935387763383,0.028243272075740324,0.35000000000000003,1078.6999999999985,1.472684901092174,1048.9999999999986,-2.03778218569944,-3.49,-1.9816756399357676,203.49,-106.25578539718506,1.01745
PUT,AAPL  250606P00207500,AAPL 06/06/2025 207.50 P,OPR,7.25,7.7,6.63,7.48,183,103,183X103,1,11.0,6.63,0,8.26,136,1748635105820,1748635199987,-1.63,27.107,-0.799,0.036,-0.149,0.078,-0.027,4364,-0.02,7.46,29,207.5,2025-06-06T20:00:00.000+00:00,7,W,1749254400000,100,P,100 AAPL,-19.72,-0.79,-9.55,6.65,-0.02,AAPL,A,13.12,3.8,true,false,true,false,192.75,19275.65,20.0,-185.5,1474.3499999999985,724.3499999999985,-704.35,180.0,-0.9275,0.07648769302202511,0.03757849929833746,0.35000000000000003,1428.6999999999985,1.9594503205561675,1473.9999999999986,-2.0283949740895837,-5.24,-2.092709590402497,205.24,-105.76630936324258,1.0262
