put_call,symbol,description,exchange_name,bid,ask,last,mark,bid_size,ask_size,bid_ask_size,last_size,high_price,low_price,open_price,close_price,total_volume,trade_time_in_long,quote_time_in_long,net_change,volatility,delta,gamma,theta,vega,rho,open_interest,time_value,theoretical_option_value,theoretical_volatility,strike_price,expiration_date,days_to_expiration,expiration_type,last_trading_day,multiplier,settlement_type,deliverable_note,percent_change,mark_change,mark_percent_change,intrinsic_value,extrinsic_value,option_root,exercise_type,high_52_week,low_52_week,penny_pilot,non_standard,in_the_money,mini
PUT,AAPL  250530P00197500,AAPL 05/30/2025 197.50 P,OPR,0.0,0.01,0.01,0.01,0,8,0X8,1,1.22,0.01,0,0.54,52063,1748635155529,1748635199493,-0.53,47.551,-0.01,0.019,-0.005,0.001,0.0,7390,0.01,0.005,29,197.5,2025-05-30T20:00:00.000+00:00,0,W,1748649600000,100,P,100 AAPL,-99.07,-0.53,-99.07,-3.35,3.36,AAPL,A,6.0,0.01,true,false,false,false
PUT,AAPL  250530P00200000,AAPL 05/30/2025 200.00 P,OPR,0.0,0.02,0.01,0.01,0,2,0X2,1,3.2,0.01,0,1.38,20778,1748635198159,1748635199834,-1.37,16.278,-0.049,0.207,-0.01,0.003,0.0,11589,0.01,0.01,29,200.0,2025-05-30T20:00:00.000+00:00,0,W,1748649600000,100,P,100 AAPL,-99.28,-1.37,-99.28,-0.85,0.86,AAPL,A,22.6,0.01,true,false,false,false
PUT,AAPL  250530P00202500,AAPL 05/30/2025 202.50 P,OPR,1.51,2.5,1.83,2.01,15,5,15X5,2,5.7,0.61,0,2.97,3262,1748635198014,1748635199972,-1.14,31.516,-0.96,0.089,-0.053,0.003,0.0,3126,0.18,1.703,29,202.5,2025-05-30T20:00:00.000+00:00,0,W,1748649600000,100,P,100 AAPL,-38.44,-0.96,-32.4,1.65,0.18,AAPL,A,9.73,0.61,true,false,true,false
PUT,AAPL  250530P00205000,AAPL 05/30/2025 205.00 P,OPR,3.3,5.05,3.55,4.18,111,10,111X10,2,8.1,3.08,0,5.15,1885,1748635139075,1748635199995,-1.6,57.289,-0.991,0.013,-0.042,0.001,0.0,5942,-0.6,4.192,29,205.0,2025-05-30T20:00:00.000+00:00,0,W,1748649600000,100,P,100 AAPL,-31.04,-0.98,-19.01,4.15,-0.6,AAPL,A,22.9,1.59,true,false,true,false
PUT,AAPL  250530P00207500,AAPL 05/30/2025 207.50 P,OPR,5.95,7.9,5.7,6.93,102,102,102X102,1,10.25,5.7,0,7.59,256,1748635037267,1748635199508,-1.89,86.063,-0.994,0.006,-0.042,0.001,0.0,404,-0.95,6.692,29,207.5,2025-05-30T20:00:00.000+00:00,0,W,1748649600000,100,P,100 AAPL,-24.91,-0.66,-8.74,6.65,-0.95,AAPL,A,14.0,2.21,true,false,true,false
PUT,AAPL  250606P00197500,AAPL 06/06/2025 197.50 P,OPR,1.86,1.92,1.86,1.89,6,9,6X9,1,3.7,1.48,0,2.38,11001,1748635198969,1748635199932,-0.51,29.869,-0.335,0.044,-0.221,0.102,-0.013,2158,1.86,1.89,29,197.5,2025-06-06T20:00:00.000+00:00,7,W,1749254400000,100,P,100 AAPL,-21.47,-0.48,-20.42,-3.35,5.21,AAPL,A,7.06,1.27,true,false,false,false
PUT,AAPL  250606P00200000,AAPL 06/06/2025 200.00 P,OPR,2.77,2.85,2.8,2.81,6,8,6X8,1,5.1,2.24,0,3.4,11937,1748635198573,1748635199900,-0.6,28.972,-0.449,0.049,-0.234,0.111,-0.018,5942,2.8,2.81,29,200.0,2025-06-06T20:00:00.000+00:00,7,W,1749254400000,100,P,100 AAPL,-17.65,-0.59,-17.35,-0.85,3.65,AAPL,A,11.0,1.41,true,false,false,false
PUT,AAPL  250606P00202500,AAPL 06/06/2025 202.50 P,OPR,3.95,4.1,3.85,4.03,14,8,14X8,1,6.78,3.3,0,4.73,1513,1748635177499,1748635200726,-0.88,28.046,-0.574,0.05,-0.223,0.11,-0.022,1725,2.2,4.025,29,202.5,2025-06-06T20:00:00.000+00:00,7,W,1749254400000,100,P,100 AAPL,-18.6,-0.71,-14.95,1.65,2.2,AAPL,A,10.65,2.34,true,false,true,false
PUT,AAPL  250606P00205000,AAPL 06/06/2025 205.00 P,OPR,5.5,5.7,5.17,5.6,11,7,11X7,6,8.6,4.75,0,6.35,1194,1748635164492,1748635199751,-1.18,27.397,-0.696,0.045,-0.192,0.098,-0.026,5237,1.02,5.583,29,205.0,2025-06-06T20:00:00.000+00:00,7,W,1749254400000,100,P,100 AAPL,-18.59,-0.75,-11.76,4.15,1.02,AAPL,A,14.2,2.4,true,false,true,false
PUT,AAPL  250606P00207500,AAPL 06/06/2025 207.50 P,OPR,7.25,7.7,6.63,7.48,183,103,183X103,1,11.0,6.63,0,8.26,136,1748635105820,1748635199987,-1.63,27.107,-0.799,0.036,-0.149,0.078,-0.027,4364,-0.02,7.46,29,207.5,2025-06-06T20:00:00.000+00:00,7,W,1749254400000,100,P,100 AAPL,-19.72,-0.79,-9.55,6.65,-0.02,AAPL,A,13.12,3.8,true,false,true,false
